ID,Pred
2019_1101_1113,0.24120794607916793
2019_1101_1120,0.10042574395463733
2019_1101_1124,0.19456186084853697
2019_1101_1125,0.22903994734597297
2019_1101_1133,0.5662304505983516
2019_1101_1138,0.11704984340506956
2019_1101_1153,0.1439344650041498
2019_1101_1159,0.46906468205483015
2019_1101_1181,0.048381465385080785
2019_1101_1192,0.7322961280626966
2019_1101_1196,0.14254268032865058
2019_1101_1199,0.09364698088215734
2019_1101_1205,0.6208122931706674
2019_1101_1209,0.3793639545992303
2019_1101_1211,0.05102406544463853
2019_1101_1222,0.09534564097925256
2019_1101_1233,0.7118432193434178
2019_1101_1234,0.1884921421565136
2019_1101_1235,0.11625123718301429
2019_1101_1242,0.10839849710542734
2019_1101_1243,0.10602280536216631
2019_1101_1246,0.06917539131941039
2019_1101_1251,0.2870977213356916
2019_1101_1257,0.11524552007826708
2019_1101_1261,0.11793689702516075
2019_1101_1266,0.13887884734198822
2019_1101_1268,0.12499987643297575
2019_1101_1276,0.05664422018977728
2019_1101_1277,0.05402549555729721
2019_1101_1278,0.19071010506594943
2019_1101_1279,0.1918388720629914
2019_1101_1280,0.12328072073224232
2019_1101_1285,0.4416294974485154
2019_1101_1293,0.21343898925059812
2019_1101_1295,0.7037154350861056
2019_1101_1297,0.3856537266886183
2019_1101_1300,0.8755784117018977
2019_1101_1305,0.13207538718328377
2019_1101_1308,0.20865324951409484
2019_1101_1314,0.060746443936267075
2019_1101_1318,0.3232461756925154
2019_1101_1326,0.18309438238540332
2019_1101_1328,0.16944149551962634
2019_1101_1330,0.3479618816207817
2019_1101_1332,0.1755114676336082
2019_1101_1341,0.7093999823171702
2019_1101_1345,0.0843882180428006
2019_1101_1371,0.2109931587531647
2019_1101_1385,0.2940791549287369
2019_1101_1387,0.34259331734898485
2019_1101_1388,0.16289163619822972
2019_1101_1393,0.16163513822616304
2019_1101_1396,0.2677133437976819
2019_1101_1397,0.07678525799719542
2019_1101_1403,0.06704212886404134
2019_1101_1414,0.2719545945214475
2019_1101_1416,0.1795838858553202
2019_1101_1429,0.16186894782312727
2019_1101_1433,0.1522967276996243
2019_1101_1436,0.30029290609431686
2019_1101_1437,0.14006216978616137
2019_1101_1438,0.03864288974535166
2019_1101_1439,0.09270655025866158
2019_1101_1449,0.1877643822745815
2019_1101_1458,0.08712483914605472
2019_1101_1459,0.12519632889365592
2019_1101_1463,0.3223131416060642
2019_1113_1120,0.25991013130728025
2019_1113_1124,0.43178577635389903
2019_1113_1125,0.483088249805548
2019_1113_1133,0.8041686316474057
2019_1113_1138,0.2942977115732929
2019_1113_1153,0.34594276350807224
2019_1113_1159,0.7353946426515483
2019_1113_1181,0.1378836353455856
2019_1113_1192,0.8958901187508571
2019_1113_1196,0.3433811575073066
2019_1113_1199,0.2453016653840547
2019_1113_1205,0.8374076353577998
2019_1113_1209,0.6578704427042706
2019_1113_1211,0.14467165068403345
2019_1113_1222,0.2489954628729408
2019_1113_1233,0.8859900802062579
